,data,id_reservatorio,nome_reservatorio,afluencia,bacia,rio,estado_sigla
259,2001-05-12,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
260,2001-05-13,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
261,2001-05-14,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
262,2001-05-15,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
263,2001-05-16,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
264,2001-05-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
265,2001-05-23,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
266,2001-05-27,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
267,2001-05-29,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
268,2001-05-30,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
269,2001-06-02,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
270,2001-06-05,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
271,2001-06-06,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
272,2001-06-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
273,2001-06-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
274,2001-06-10,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
275,2001-06-12,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
276,2001-06-13,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
277,2001-06-15,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
278,2001-06-18,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
279,2001-06-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
280,2001-06-21,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
281,2001-06-24,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
282,2001-06-25,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
283,2001-06-26,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
284,2001-06-27,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
285,2001-07-01,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
286,2001-07-02,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
287,2001-07-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
288,2001-07-04,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
289,2001-07-05,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
290,2001-07-06,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
291,2001-07-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
292,2001-07-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
293,2001-07-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
294,2001-07-10,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
295,2001-07-11,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
296,2001-07-13,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
297,2001-07-15,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
298,2001-07-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
299,2001-07-21,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
300,2001-07-24,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
301,2001-07-27,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
302,2001-07-29,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
303,2001-07-30,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
304,2001-07-31,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
305,2001-08-01,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
306,2001-08-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
307,2001-08-06,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
308,2001-08-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
309,2001-08-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
310,2001-08-10,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
311,2001-08-11,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
312,2001-08-12,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
313,2001-08-13,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
314,2001-08-16,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
315,2001-08-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
316,2001-08-20,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
317,2001-08-21,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
318,2001-08-22,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
319,2001-08-23,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
320,2001-08-25,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
321,2001-08-29,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
322,2001-08-31,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
323,2001-09-06,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
324,2001-09-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
325,2001-09-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
326,2001-09-11,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
327,2001-09-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
